,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,206,207,207,223,223,222,222,222,222,222,222,222,222
Reserves,"40,398","38,122","40,402","45,836","54,629","57,279","58,095","66,311","77,969","94,584","105,924","123,487","134,644"
Borrowings +,"64,756","68,468","67,552","63,817","52,074","52,415","68,399","67,206","64,486","60,291","56,356","63,929","74,878"
Other Liabilities +,"32,621","34,950","32,986","36,268","40,088","42,056","41,902","55,083","79,178","68,392","68,221","76,662","86,936"
Total Liabilities,"137,982","141,746","141,146","146,144","147,014","151,972","168,618","188,822","221,855","223,489","230,723","264,300","296,680"
Fixed Assets +,"61,163","71,959","85,648","84,687","85,088","85,860","89,195","100,269","106,874","110,626","111,810","116,556","122,373"
CWIP,"23,059","14,111","4,214","1,814","2,063","4,097","7,721","10,202","4,945","7,700","14,867","27,397","34,680"
Investments,"12,961","12,346","12,463","15,157","10,781","9,012","9,411","17,133","14,119","14,116","15,444","24,158","29,506"
Other Assets +,"40,798","43,330","38,821","44,486","49,081","53,003","62,291","61,218","95,917","91,047","88,602","96,189","110,121"
Total Assets,"137,982","141,746","141,146","146,144","147,014","151,972","168,618","188,822","221,855","223,489","230,723","264,300","296,680"
