,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"87,695","104,281","98,759","100,184","115,183","130,542","118,144","132,008","195,059","223,202","215,962","238,496","253,570"
Expenses +,"79,671","95,437","90,981","87,867","101,488","115,031","103,838","114,449","166,712","200,536","192,090","206,691","220,279"
Operating Profit,"8,024","8,844","7,778","12,317","13,695","15,511","14,306","17,559","28,347","22,666","23,872","31,805","33,291"
OPM %,9%,8%,8%,12%,12%,12%,12%,13%,15%,10%,11%,13%,13%
Other Income +,677,-832,"1,500","1,198","2,879","1,127",906,-987,"1,253","1,307","1,519","1,832","2,311"
Interest,"2,702","4,178","5,134","5,742","3,911","3,778","4,197","3,738","3,768","3,646","3,858","3,419","3,248"
Depreciation,"3,347","3,493","4,347","4,457","4,506","4,777","5,091","6,628","6,729","7,086","7,521","7,881","8,292"
Profit before tax,"2,653",340,-203,"3,315","8,157","8,083","5,924","6,206","19,103","13,241","14,012","22,337","24,062"
Tax %,20%,75%,245%,43%,25%,32%,36%,44%,28%,24%,28%,28%,
Net Profit +,"2,195",259,-702,"1,882","6,083","5,495","3,767","3,483","13,730","10,097","10,155","16,002","17,764"
EPS in Rs,10.53,4.14,-1.21,8.47,27.10,24.48,16.77,15.50,61.10,44.93,45.19,71.20,79.05
Dividend Payout %,9%,24%,-82%,13%,4%,5%,6%,19%,6%,7%,8%,7%,
